Name,Final Price
GULFOILLUB,"1,112.90"
NRAIL,489.00
AEROFLEX,142.20
SAGCEM,228.40
INDIANB,536.90
GANDHAR,229.00
SIKKO,79.70
ESAFSFB,59.95
THERMAX,"4,500.00"
RADIANTCMS,83.75
GOCLCORP,492.50
PYRAMID,171.20
NLCINDIA,235.00
RUCHIRA,124.30
PASUPTAC,40.40
MANORG,343.60
DIGISPICE,27.00
SHAILY,557.15
SELAN,486.30
ELGIEQUIP,597.85
HARIOMPIPE,517.05
NEOGEN,"1,270.80"
DOMS,"1,653.00"
NELCAST,145.50
TATAELXSI,"8,117.85"
AKZOINDIA,"2,484.45"
INDOBORAX,176.05
SONACOMS,680.55
DPABHUSHAN,904.75
DYCL,406.65
PEARLPOLY,33.90
UDS,332.25
ROHLTD,427.45
PRIMESECU,183.20
AJMERA,764.05
SUNFLAG,207.60
MUFIN,142.95
CYBERTECH,160.20
GENUSPAPER,20.60
SHARDAMOTR,"1,452.00"
IOLCP,392.70
DAVANGERE,82.70
EXICOM,206.80
NPST,"1,244.00"
JETFREIGHT,13.85
HDFCBANK,"1,504.00"
JYOTICNC,778.00
ASTERDM,424.00
FEDERALBNK,156.75
NIPPOBATRY,620.80
GAEL,171.05
SATIN,245.00
DIAMINESQ,525.50
VBL,"1,496.00"
IRMENERGY,501.05
KECL,123.40
NSIL,"3,544.00"
SUPRIYA,385.00
KRITINUT,102.45
HARDWYN,35.50
ARSHIYA,7.15
POCL,681.00
MAANALU,154.50
HAPPSTMNDS,830.00
SOMANYCERA,622.00
PNB,137.05
NIACL,242.50
IGPL,475.00
JBMA,"1,814.65"
MAHEPC,130.80
AZAD,"1,337.00"
TASTYBITE,"12,289.95"
IEX,145.85
PIXTRANS,"1,391.00"
MAHLIFE,620.80
AVPINFRA,76.70
CSBBANK,380.00
PERSISTENT,"4,028.00"
HONDAPOWER,"2,345.00"
ANDHRSUGAR,110.00
JAYBARMARU,124.70
FIVESTAR,752.80
TPLPLASTEH,70.20
AURIONPRO,"2,343.15"
ABB,"6,593.00"
SILINV,509.90
GHCL,498.00
ACLGATI,104.90
EIHAHOTELS,784.45
GENUSPOWER,259.00
IDFC,116.45
INDOAMIN,146.80
GABRIEL,369.85
TRIDENT,41.70
MINDTECK,216.45
BALAMINES,"2,151.85"
BPL,102.85
AMJLAND,38.20
SADHAV,184.00
STEELXIND,15.35
GODREJAGRO,538.60
KHADIM,333.00
BANKINDIA,147.20
DRCSYSTEMS,19.45
INTLCONV,89.55
LEXUS,39.00
JAICORPLTD,316.35
RPSGVENT,700.00
VIPULLTD,31.30
WINDMACHIN,82.20
SARLAPOLY,58.80
NCLIND,215.65
20MICRONS,156.95
AVG,620.00
BLUESTARCO,"1,365.60"
QUESS,565.00
SHREDIGCEM,106.70
MGEL,19.80
CANBK,614.70
SHIVALIK,587.00
CHOLAFIN,"1,210.00"
MEDICO,47.90
PVSL,271.95
NMDC,220.45
MANAPPURAM,196.50
JPASSOCIAT,20.10
KALYANKJIL,434.25
NURECA,294.35
LTTS,"5,828.95"
SBGLP,925.00
GLAND,"1,810.00"
SATINDLTD,105.40
THOMASCOOK,174.35
GREENPANEL,332.60
PATANJALI,"1,422.00"
JAIBALAJI,950.00
KIMS,"2,075.00"
ISEC,728.00
NAVA,519.80
DOLATALGO,77.80
ZOMATO,180.50
DCMNVL,217.45
BHAGERIA,168.50
METROPOLIS,"1,746.00"
IDEAFORGE,740.00
THANGAMAYL,"1,327.05"
BALMLAWRIE,252.50
TRIGYN,109.30
ONGC,278.65
SINDHUTRAD,29.60
TARSONS,444.35
REMSONSIND,983.00
HERANBA,326.85
HIL,"2,789.40"
AMDIND,67.95
ARROWGREEN,408.00
NAGREEKEXP,34.00
POKARNA,468.35
TATACONSUM,"1,132.80"
SIYSIL,481.30
SUNCLAY,"1,490.00"
ONWARDTEC,482.95
TREL,51.30
SPARC,398.00
BLUEJET,389.90
APOLLOPIPE,690.00
SANDESH,"1,297.00"
PRSMJOHNSN,184.90
HEUBACHIND,465.00
AARTIPHARM,457.20
NRL,99.40
IRFC,147.00
INGERRAND,"3,797.95"
GSS,142.90
ARIES,282.00
KALYANIFRG,434.00
MVGJL,264.75
INDUSTOWER,304.05
DIL,8.70
TATASTEEL,165.55
AHLUCONT,"1,094.50"
RBL,757.40
AGARIND,861.75
IONEXCHANG,536.50
IWEL,"6,000.00"
ADANIGREEN,"1,900.50"
VIMTALABS,485.90
RENUKA,44.20
SUNTV,628.00
ADVANIHOTR,88.50
DENORA,"1,719.20"
VSTTILLERS,"3,333.95"
CDSL,"1,897.70"
WANBURY,165.00
STARHEALTH,566.40
IGARASHI,459.75
AARON,268.00
VIRINCHI,35.75
HPL,344.15
SHYAMMETL,619.40
ACE,"1,588.90"
RATNAMANI,"2,962.70"
PRAKASH,180.80
PIGL,67.90
LYKALABS,117.90
GMBREW,790.60
REPCOHOME,458.00
AEGISCHEM,437.95
ATALREAL,13.85
MAGADSUGAR,582.00
SBICARD,702.80
FIBERWEB,37.00
MTNL,37.00
MTARTECH,"1,906.00"
MADRASFERT,93.05
IDBI,88.80
JAYSREETEA,103.00
MURUDCERA,51.65
HOMEFIRST,940.00
FORTIS,428.20
VINYLINDIA,409.90
MAHLOG,439.00
NTPC,355.00
HERITGFOOD,341.90
KANPRPLA,99.85
SUBEXLTD,33.30
TCIEXP,"1,111.00"
PROZONER,33.40
GENCON,43.00
AFFLE,"1,118.80"
MOTILALOFS,"1,844.40"
RUSHIL,326.70
UNIONBANK,159.15
JMFINANCIL,82.00
DISHTV,19.30
SANGHVIMOV,"1,380.00"
BAJAJHIND,33.85
GANESHBE,184.00
OAL,334.60
PRECWIRE,136.00
GULFPETRO,68.00
AXITA,24.30
MUKKA,39.00
MOREPENLAB,48.85
ASPINWALL,269.00
ZUARI,200.55
TV18BRDCST,49.10
PDMJEPAPER,68.95
ATGL,985.90
ORICONENT,39.45
ALOKINDS,29.60
GFLLIMITED,79.10
5PAISA,598.35
AMBER,"3,818.65"
NBCC,128.95
HGS,825.00
CENTENKA,447.70
DYNAMATECH,"8,240.40"
GOKULAGRO,114.50
ZAGGLE,289.00
RPTECH,338.90
CARYSIL,"1,021.95"
SAIL,149.70
MANORAMA,454.85
COALINDIA,450.00
GICRE,345.05
KITEX,205.05
CSLFINANCE,460.35
HBLPOWER,495.40
ASAL,613.10
RADHIKAJWE,70.45
EMSLIMITED,453.00
MHLXMIRU,302.00
GOACARBON,962.30
CINELINE,131.00
GOLDTECH,131.00
ELECON,987.55
ATULAUTO,514.80
SPLPETRO,681.45
GINNIFILA,35.35
SASKEN,"1,632.15"
TMB,496.25
AVTNPL,91.20
FOSECOIND,"3,183.00"
JINDRILL,669.80
BFUTILITIE,878.95
AUTOIND,137.35
UJJIVAN,540.00
DATAMATICS,622.25
PAKKA,311.40
UGARSUGAR,81.70
MANALIPETC,71.50
SURYAROSNI,577.40
PDSL,506.55
LLOYDSME,615.00
DBOL,133.30
YESBANK,25.65
MANAKSIA,113.10
ESTER,97.70
FINPIPE,262.50
SYRMA,499.50
INDIGO,"3,525.00"
VASCONEQ,72.30
SUBROS,526.90
GEEKAYWIRE,98.50
DJML,197.25
ROSSARI,729.15
CANFINHOME,813.00
GODREJPROP,"2,425.00"
WHIRLPOOL,"1,356.00"
JUBLPHARMA,585.00
HITECHGEAR,895.00
POWERGRID,282.80
CYIENT,"2,087.00"
EXPLEOSOL,"1,317.45"
DREAMFOLKS,520.65
VALIANTORG,431.50
LANDMARK,799.95
DONEAR,105.45
STARPAPER,248.00
TCPLPACK,"2,344.50"
VTL,449.00
MUKANDLTD,169.35
NAHARPOLY,206.60
HITECH,143.20
GPPL,223.15
